land,kreis,name,zusatz,strasse,hausnr,plz,ort,address
05,974,LWL-Klinik Lippstadt,LWL-Klinik Lippstadt,Im Hofholz,6,59556,Lippstadt,Im Hofholz 6 59556 Lippstadt Germany
05,974,Klinikum Stadt Soest gGmbH,Klinikum Stadt Soest gGmbH,Senator-Schwartz-Ring,8,59494,"Soest, Westfalen","Senator-Schwartz-Ring 8 59494 Soest, Westfalen Germany"
05,974,LWL-Klinik Lippstadt,LWL-Klinik Lippstadt/Tagesklinik Psychiatrie Soest,Widumgasse,3,59494,"Soest, Westfalen","Widumgasse 3 59494 Soest, Westfalen Germany"
05,974,LWL-Universitätsklinik Hamm der Ruhr-Universität Bochum,LWL-Tagesklinik Soest,Hattroper Weg,76,59494,"Soest, Westfalen","Hattroper Weg 76 59494 Soest, Westfalen Germany"
05,974,Marienkrankenhaus Soest,Marienkrankenhaus Soest,Widumgasse,5,59494,"Soest, Westfalen","Widumgasse 5 59494 Soest, Westfalen Germany"
05,974,Krankenhaus Maria Hilf GmbH,Krankenhaus Maria Hilf GmbH,Hospitalstr.,3-7,59581,Warstein,Hospitalstr. 3-7 59581 Warstein Germany
05,974,LWL-Klinik Warstein,LWL-Klinik Warstein,Franz-Hegemann-Straße,23,59581,Warstein,Franz-Hegemann-Straße 23 59581 Warstein Germany
05,974,Mariannen-Hospital Werl,Mariannen-Hospital Werl,Unnaer Straße,15,59457,Werl,Unnaer Straße 15 59457 Werl Germany
05,978,LWL-Klinik Dortmund,LWL-Tagesklinik Bergkamen,Erich-Ollenhauer-Straße,7,59192,Bergkamen,Erich-Ollenhauer-Straße 7 59192 Bergkamen Germany
05,978,LWL-Universitätsklinik Hamm der Ruhr-Universität Bochum,LWL-Tagesklinik Bergkamen,Bruktererstraße,30,59192,Bergkamen,Bruktererstraße 30 59192 Bergkamen Germany
05,978,"Klinikum Westfalen GmbH - KKDO, KaP, HK",Hellmig-Krankenhaus Kamen,Nordstraße,34,59174,"Kamen, Westfalen","Nordstraße 34 59174 Kamen, Westfalen Germany"
05,978,Katholisches Klinikum Lünen/Werne,St. Marien Hospital Lünen,Altstadtstraße,23,44534,Lünen,Altstadtstraße 23 44534 Lünen Germany
05,978,"Klinikum Westfalen GmbH - KKDO, KaP, HK",Klinik am Park Lünen,Brechtener Straße,59,44536,Lünen,Brechtener Straße 59 44536 Lünen Germany
05,978,LWL-Klinik Dortmund,LWL-Tagesklinik Lünen,Altstadtstraße,23a,44534,Lünen,Altstadtstraße 23a 44534 Lünen Germany
05,978,Marienkrankenhaus Schwerte,Marienkrankenhaus Schwerte,Goethestraße,19,58239,Schwerte,Goethestraße 19 58239 Schwerte Germany
05,978,Tagesklinik Schwerte,GPHS Tagesklinik Schwerte e.V.,Kleppingstraße,21,58239,Schwerte,Kleppingstraße 21 58239 Schwerte Germany
05,978,Christliches Klinikum Unna,"Christliches Klinikum Unna, Standort West",Holbeinstraße,10,59423,Unna,Holbeinstraße 10 59423 Unna Germany
05,978,Christliches Klinikum Unna,"Christliches Klinikum Unna, Standort Mitte - Hauptstandort",Obere Husemannstraße,2,59423,Unna,Obere Husemannstraße 2 59423 Unna Germany
05,978,Fachklinik für Kinderneurologie und Sozialpädiatrie Königsborn,Fachklinik für Kinderneurologie und Sozialpädiatrie Königsborn,Zimmerplatz,1,59425,Unna,Zimmerplatz 1 59425 Unna Germany
05,978,LWL-Klinik Dortmund,LWL-Klinik Dortmund -Dependance Unna,Holbeinstraße,10,59423,Unna,Holbeinstraße 10 59423 Unna Germany
05,978,Katholisches Klinikum Lünen/Werne,St. Christophorus Krankenhaus Werne,Am See,1,59368,Werne,Am See 1 59368 Werne Germany
