land,kreis,name,zusatz,strasse,hausnr,plz,ort,address
05,774,Brüderkrankenhaus St. Josef Paderborn,Brüderkrankenhaus St. Josef Paderborn,Husener Str.,46,33098,Paderborn,Husener Str. 46 33098 Paderborn Germany
05,774,LWL-Klinik Marsberg,KJP Paderborn,Am Ostfriedhof,10,33098,Paderborn,Am Ostfriedhof 10 33098 Paderborn Germany
05,774,LWL-Klinik Marsberg,TK Paderborn,Karl-Schoppe-Weg,4a,33100,Paderborn,Karl-Schoppe-Weg 4a 33100 Paderborn Germany
05,774,LWL-Klinik Paderborn,LWL Klinik Paderborn,Agathastraße,1,33098,Paderborn,Agathastraße 1 33098 Paderborn Germany
05,774,St. Johannisstift Ev. Krankenhaus Paderborn gGmbH,St. Johannisstift Ev. Krankenhaus Paderborn gGmbH,Reumontstraße,28,33102,Paderborn,Reumontstraße 28 33102 Paderborn Germany
05,774,St. Vincenz-Krankenhaus GmbH,St. Vincenz,Am Busdorf,2,33098,Paderborn,Am Busdorf 2 33098 Paderborn Germany
05,774,LWL-Klinik Paderborn,Allgemeinpsychiatrische Tagesklinik Salzkotten,An der Burg,5,33154,Salzkotten,An der Burg 5 33154 Salzkotten Germany
05,774,St. Vincenz-Krankenhaus GmbH,St. Josefs,Dr.-Krismann-Straße,12,33154,Salzkotten,Dr.-Krismann-Straße 12 33154 Salzkotten Germany
05,911,Augusta-Kranken-Anstalt gGmbH,Augusta-Kranken-Anstalt - Betriebsstelle Bochum-Mitte,Bergstr.,26,44791,Bochum,Bergstr. 26 44791 Bochum Germany
05,911,Augusta-Kranken-Anstalt gGmbH,Augusta-Kranken-Anstalt - Betriebsstelle Bochum-Linden,Dr.-C.-Otto-Str.,27,44879,Bochum,Dr.-C.-Otto-Str. 27 44879 Bochum Germany
05,911,Berufsgenossenschaftliches Universitätsklinikum Bergmannsheil gGmbH,Bergmannsheil Bochum gGmbH,Bürkle de la Camp-Platz,1,44789,Bochum,Bürkle de la Camp-Platz 1 44789 Bochum Germany
05,911,Katholisches Klinikum Bochum gGmbH,Standort EH - St. Elisabeth-Hospital,Bleichstr.,15,44787,Bochum,Bleichstr. 15 44787 Bochum Germany
05,911,Katholisches Klinikum Bochum gGmbH,Standort JH - St. Josef-Hospital,Gudrunstr.,56,44791,Bochum,Gudrunstr. 56 44791 Bochum Germany
05,911,Katholisches Klinikum Bochum gGmbH,Standort MH-WAT/MLK - Marien-Hospital Wattenscheid/Martin-Luther-Krankenhaus,Parkstr.,15,44866,Bochum,Parkstr. 15 44866 Bochum Germany
05,911,LWL-Universitätsklinikum Bochum,LWL-Universitätsklinikum Bochum,Alexandrinenstr.,1,44791,Bochum,Alexandrinenstr. 1 44791 Bochum Germany
05,911,Universitätsklinikum Knappschaftskrankenhaus Bochum,Universitätsklinikum Knappschaftskrankenhaus Bochum,In der Schornau,23-25,44892,Bochum,In der Schornau 23-25 44892 Bochum Germany
05,911,VALEARA KJP Bochum GmbH,VALEARA KJP Bochum GmbH,Axstraße,33,44879,Bochum,Axstraße 33 44879 Bochum Germany
05,913,Hüttenhospital gGmbH,Hüttenhospital gGmbH,Am Marksbach,28,44269,Dortmund,Am Marksbach 28 44269 Dortmund Germany
05,913,Klinikum Dortmund gGmbH,Klinikum Dortmund gGmbH,Beurhausstraße,40,44137,Dortmund,Beurhausstraße 40 44137 Dortmund Germany
05,913,Klinikum Dortmund gGmbH,Klinikum Dortmund gGmbH - Klinikzentrum Nord,Münsterstraße,240,44145,Dortmund,Münsterstraße 240 44145 Dortmund Germany
05,913,"Klinikum Westfalen GmbH - KKDO, KaP, HK",Knappschaftskrankenhaus Dortmund,Am Knappschaftskrankenhaus,1,44309,Dortmund,Am Knappschaftskrankenhaus 1 44309 Dortmund Germany
05,913,Knappschaftskrankenhaus Lütgendortmund,Knappschaftskrankenhaus Lütgendortmund,Volksgartenstraße,40,44388,Dortmund,Volksgartenstraße 40 44388 Dortmund Germany
05,913,LWL Elisabeth-Klinik,LWL-Klinik Dortmund - Elisabeth-Klinik - Kinder- und Jugendpsychiatrie Psychotherapie · Psychosomatik,Marsbruchstraße,162a,44287,Dortmund,Marsbruchstraße 162a 44287 Dortmund Germany
05,913,LWL Elisabeth-Klinik,"LWL-Tagesklinik Dortmund Kinder- und Jugendpsychiatrie, Psychosomatik",Marsbruchstraße,162a,44287,Dortmund,Marsbruchstraße 162a 44287 Dortmund Germany
05,913,LWL-Klinik Dortmund,LWL-Klinik Dortmund,Marsbruchstraße,179,44287,Dortmund,Marsbruchstraße 179 44287 Dortmund Germany
05,913,LWL-Klinik Dortmund,LWL-Tagesklinik Dortmund - Brackel,Schimmelstraße,15,44309,Dortmund,Schimmelstraße 15 44309 Dortmund Germany
05,913,Marien Hospital Dortmund-Hombruch,Marien Hospital Dortmund-Hombruch,Gablonzstraße,9,44225,Dortmund,Gablonzstraße 9 44225 Dortmund Germany
05,913,Orthopädische Klinik Volmarstein,Ortho-Klinik Dortmund,Virchowstraße,4,44263,Dortmund,Virchowstraße 4 44263 Dortmund Germany
05,913,St. Elisabeth Krankenhaus Dortmund-Kurl,St. Elisabeth Krankenhaus Dortmund-Kurl,Kurler Straße,130,44319,Dortmund,Kurler Straße 130 44319 Dortmund Germany
05,913,St. Johannes Hospital Dortmund,St. Johannes Hospital Dortmund,Johannesstraße,9-13,44137,Dortmund,Johannesstraße 9-13 44137 Dortmund Germany
05,913,St. Lukas Klinikum,St.-Josefs-Hospital,Wilhelm-Schmidt-Straße,4,44263,Dortmund,Wilhelm-Schmidt-Straße 4 44263 Dortmund Germany
05,913,St. Lukas Klinikum,Katholisches Krankenhaus Dortmund-West,Zollernstraße,40,44379,Dortmund,Zollernstraße 40 44379 Dortmund Germany
05,914,AGAPLESION Allgemeines Krankenhaus Hagen,AGAPLESION Allgemeines Krankenhaus Hagen,Grünstr.,35,58095,"Hagen, Westfalen","Grünstr. 35 58095 Hagen, Westfalen Germany"
05,914,Ev. Krankenhaus Hagen-Haspe gGmbH,Ev. Krankenhaus Hagen-Haspe,Brusebrinkstraße,20,58135,"Hagen, Westfalen","Brusebrinkstraße 20 58135 Hagen, Westfalen Germany"
